"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2016,"ABW_A01","ABW_A01",0.141,34805.5939999999,34805.5939999999
"2",2016,"ABW_A02","ABW_A01",0.536,23917.144,34805.5939999999
"3",2016,"ABW_A03","ABW_A01",5.372,106800.862,34805.5939999999
"4",2016,"ABW_A04","ABW_A01",92.117,107790.585,34805.5939999999
"5",2016,"ABW_A05","ABW_A01",2.543,37637.6090000001,34805.5939999999
"6",2016,"ABW_A06","ABW_A01",26.235,107330.865,34805.5939999999
"7",2016,"ABW_A07","ABW_A01",57.392,734438.823999999,34805.5939999999
"8",2016,"ABW_A08","ABW_A01",1.539,60845.4000000002,34805.5939999999
"9",2016,"ABW_A09","ABW_A01",3.498,118943.056,34805.5939999999
"10",2016,"ABW_A10","ABW_A01",0.372,79370.4730000001,34805.5939999999
"11",2016,"ABW_A11","ABW_A01",2.652,57280.502,34805.5939999999
"12",2016,"ABW_A12","ABW_A01",0.209,30117.44,34805.5939999999
"13",2016,"ABW_A13","ABW_A01",122.075,255539.509999999,34805.5939999999
"14",2016,"ABW_A14","ABW_A01",26.615,393979.767,34805.5939999999
"15",2016,"ABW_A15","ABW_A01",5.148,51740.4179999996,34805.5939999999
"16",2016,"ABW_A16","ABW_A01",331.836,347856.526,34805.5939999999
"17",2016,"ABW_A17","ABW_A01",32.688,287197.921999999,34805.5939999999
"18",2016,"ABW_A18","ABW_A01",14.236,703604.243000001,34805.5939999999
"19",2016,"ABW_A19","ABW_A01",65.059,338285.962000003,34805.5939999999
"20",2016,"ABW_A20","ABW_A01",7.393,212175.992,34805.5939999999
"21",2016,"ABW_A21","ABW_A01",962.522,1074934.539,34805.5939999999
"22",2016,"ABW_A22","ABW_A01",1.588,453002.938,34805.5939999999
"23",2016,"ABW_A23","ABW_A01",28.624,611219.597999999,34805.5939999999
"24",2016,"ABW_A24","ABW_A01",0.116,41045.1199999999,34805.5939999999
"25",2016,"ABW_A25","ABW_A01",0.499,35138.823,34805.5939999999
"26",2016,"ABW_A26","ABW_A01",0.264,28109.532,34805.5939999999
"27",2016,"LG01_LG01","ABW_A01",16.515,NA,34805.5939999999
"28",2016,"LG02_LG02","ABW_A01",-273.786,NA,34805.5939999999
"29",2016,"LH01_LH01","ABW_A01",396.023,NA,34805.5939999999
"30",2016,"LK01_LK01","ABW_A01",261.953,NA,34805.5939999999
"31",2016,"LK02_LK02","ABW_A01",21.422,NA,34805.5939999999
"32",2016,"LK03_LK03","ABW_A01",88.097,NA,34805.5939999999
"33",2016,"Imp_A01","ABW_A01",4335.658,NA,34805.5939999999
"34",2016,"Imp_A02","ABW_A01",399.502,NA,34805.5939999999
"35",2016,"Imp_A03","ABW_A01",809.435,NA,34805.5939999999
"36",2016,"Imp_A04","ABW_A01",2635.095,NA,34805.5939999999
"37",2016,"Imp_A05","ABW_A01",814.754,NA,34805.5939999999
"38",2016,"Imp_A06","ABW_A01",845.966,NA,34805.5939999999
"39",2016,"Imp_A07","ABW_A01",5904.341,NA,34805.5939999999
"40",2016,"Imp_A08","ABW_A01",1145.382,NA,34805.5939999999
"41",2016,"Imp_A09","ABW_A01",2469.622,NA,34805.5939999999
"42",2016,"Imp_A10","ABW_A01",712.824,NA,34805.5939999999
"43",2016,"Imp_A11","ABW_A01",456.747,NA,34805.5939999999
"44",2016,"Imp_A12","ABW_A01",329.328,NA,34805.5939999999
"45",2016,"Imp_A13","ABW_A01",426.123,NA,34805.5939999999
"46",2016,"Imp_A14","ABW_A01",624.312,NA,34805.5939999999
"47",2016,"Imp_A15","ABW_A01",319.132,NA,34805.5939999999
"48",2016,"Imp_A16","ABW_A01",497.721,NA,34805.5939999999
"49",2016,"Imp_A17","ABW_A01",657.644,NA,34805.5939999999
"50",2016,"Imp_A18","ABW_A01",533.502,NA,34805.5939999999
"51",2016,"Imp_A19","ABW_A01",850.483,NA,34805.5939999999
"52",2016,"Imp_A20","ABW_A01",543.279,NA,34805.5939999999
"53",2016,"Imp_A21","ABW_A01",3425.277,NA,34805.5939999999
"54",2016,"Imp_A22","ABW_A01",467.642,NA,34805.5939999999
"55",2016,"Imp_A23","ABW_A01",1172.193,NA,34805.5939999999
"56",2016,"Imp_A24","ABW_A01",313.7,NA,34805.5939999999
"57",2016,"Imp_A25","ABW_A01",189.462,NA,34805.5939999999
"58",2016,"Imp_A26","ABW_A01",1647.984,NA,34805.5939999999
"59",2016,"Imp_ZZZ","ABW_A01",-23.007,NA,34805.5939999999
