|ROW|COLNew|Value
0|ABW_A01|ABW_A01|0.141
1|ABW_A01|ABW_A02|0.097
2|ABW_A01|ABW_A03|2.411
3|ABW_A01|ABW_A04|607.411
4|ABW_A01|ABW_A05|3.511
5|ABW_A01|ABW_A06|153.79
6|ABW_A01|ABW_A07|91.356
7|ABW_A01|ABW_A08|0.182
8|ABW_A01|ABW_A09|0.187
9|ABW_A01|ABW_A10|0.135
10|ABW_A01|ABW_A11|1.067
11|ABW_A01|ABW_A12|0.125
12|ABW_A01|ABW_A13|0.92
13|ABW_A01|ABW_A14|76.246
14|ABW_A01|ABW_A15|0.298
15|ABW_A01|ABW_A16|4.719
16|ABW_A01|ABW_A17|7.514
17|ABW_A01|ABW_A18|332.1
18|ABW_A01|ABW_A19|1.414
19|ABW_A01|ABW_A20|0.41
20|ABW_A01|ABW_A21|118.376
21|ABW_A01|ABW_A22|10.996
22|ABW_A01|ABW_A23|33.414
23|ABW_A01|ABW_A24|0.309
24|ABW_A01|ABW_A25|0.144
25|ABW_A01|ABW_A26|0.14
26|ABW_A01|ABW_XG|11.652
27|ABW_A01|ABW_XH|2484.0
28|ABW_A01|ABW_XK01|58.405
29|ABW_A01|ABW_XK02|235.577
30|ABW_A01|ABW_XK03|0.21
31|ABW_A01|ABW_XNPISH|48.456
32|ABW_A02|ABW_A01|0.542
33|ABW_A02|ABW_A02|0.141
34|ABW_A02|ABW_A03|1.175
35|ABW_A02|ABW_A04|29.747
36|ABW_A02|ABW_A05|0.727
37|ABW_A02|ABW_A06|1.075
38|ABW_A02|ABW_A07|1.334
39|ABW_A02|ABW_A08|0.807
40|ABW_A02|ABW_A09|0.909
41|ABW_A02|ABW_A10|0.622
42|ABW_A02|ABW_A11|0.993
43|ABW_A02|ABW_A12|0.458
44|ABW_A02|ABW_A13|1.025
45|ABW_A02|ABW_A14|1.056
46|ABW_A02|ABW_A15|1.142
47|ABW_A02|ABW_A16|0.908
48|ABW_A02|ABW_A17|1.495
49|ABW_A02|ABW_A18|36.807
50|ABW_A02|ABW_A19|1.349
51|ABW_A02|ABW_A20|1.352
52|ABW_A02|ABW_A21|2.365
53|ABW_A02|ABW_A22|1.075
54|ABW_A02|ABW_A23|2.594
55|ABW_A02|ABW_A24|1.139
56|ABW_A02|ABW_A25|0.523
57|ABW_A02|ABW_A26|0.379
58|ABW_A02|ABW_XG|3.971
59|ABW_A02|ABW_XH|69.579
60|ABW_A02|ABW_XK01|0.289
61|ABW_A02|ABW_XK02|12.53
62|ABW_A02|ABW_XK03|0.289
63|ABW_A02|ABW_XNPISH|0.745
64|ABW_A03|ABW_A01|4.097
65|ABW_A03|ABW_A02|1.364
66|ABW_A03|ABW_A03|466.411
67|ABW_A03|ABW_A04|51.947
68|ABW_A03|ABW_A05|3.257
69|ABW_A03|ABW_A06|104.092
70|ABW_A03|ABW_A07|53568.4
71|ABW_A03|ABW_A08|101.426
72|ABW_A03|ABW_A09|4.951
73|ABW_A03|ABW_A10|6.841
74|ABW_A03|ABW_A11|10.035
75|ABW_A03|ABW_A12|512.116
76|ABW_A03|ABW_A13|24358.3
77|ABW_A03|ABW_A14|6487.48
78|ABW_A03|ABW_A15|0.998
79|ABW_A03|ABW_A16|45.523
80|ABW_A03|ABW_A17|28.293
81|ABW_A03|ABW_A18|194.882
82|ABW_A03|ABW_A19|1774.74
83|ABW_A03|ABW_A20|27.695
84|ABW_A03|ABW_A21|416.647
