"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2013,"ABW_A01","ABW_A01",0.141,14898.446,14898.446
"2",2013,"ABW_A02","ABW_A01",0.542,7273.015,14898.446
"3",2013,"ABW_A03","ABW_A01",4.097,82200.3450000006,14898.446
"4",2013,"ABW_A04","ABW_A01",75.121,86496.4169999997,14898.446
"5",2013,"ABW_A05","ABW_A01",2.23,19318.603,14898.446
"6",2013,"ABW_A06","ABW_A01",20.761,83542.842,14898.446
"7",2013,"ABW_A07","ABW_A01",44.686,551995.940999999,14898.446
"8",2013,"ABW_A08","ABW_A01",1.35,29359.0450000001,14898.446
"9",2013,"ABW_A09","ABW_A01",2.986,87675.7240000002,14898.446
"10",2013,"ABW_A10","ABW_A01",0.332,44477.4260000001,14898.446
"11",2013,"ABW_A11","ABW_A01",2.169,37892.8119999997,14898.446
"12",2013,"ABW_A12","ABW_A01",0.187,10429.397,14898.446
"13",2013,"ABW_A13","ABW_A01",91.719,254100.189,14898.446
"14",2013,"ABW_A14","ABW_A01",19.478,406985.797999999,14898.446
"15",2013,"ABW_A15","ABW_A01",4.109,19458.06,14898.446
"16",2013,"ABW_A16","ABW_A01",241.767,271320.103999999,14898.446
"17",2013,"ABW_A17","ABW_A01",14.986,225863.037,14898.446
"18",2013,"ABW_A18","ABW_A01",10.55,608617.144,14898.446
"19",2013,"ABW_A19","ABW_A01",50.638,290801.254,14898.446
"20",2013,"ABW_A20","ABW_A01",5.551,188969.696,14898.446
"21",2013,"ABW_A21","ABW_A01",718.473,1064912.816,14898.446
"22",2013,"ABW_A22","ABW_A01",1.142,477856.664000001,14898.446
"23",2013,"ABW_A23","ABW_A01",20.397,572681.657000001,14898.446
"24",2013,"ABW_A24","ABW_A01",0.092,14441.23,14898.446
"25",2013,"ABW_A25","ABW_A01",0.46,10341.012,14898.446
"26",2013,"ABW_A26","ABW_A01",0.242,9020.37999999998,14898.446
"27",2013,"LG01_LG01","ABW_A01",117.468,NA,14898.446
"28",2013,"LG02_LG02","ABW_A01",-29.069,NA,14898.446
"29",2013,"LH01_LH01","ABW_A01",2816.77,NA,14898.446
"30",2013,"LK01_LK01","ABW_A01",1863.23,NA,14898.446
"31",2013,"LK02_LK02","ABW_A01",152.369,NA,14898.446
"32",2013,"LK03_LK03","ABW_A01",626.612,NA,14898.446
"33",2013,"Imp_A01","ABW_A01",1050.979,NA,14898.446
"34",2013,"Imp_A02","ABW_A01",60.729,NA,14898.446
"35",2013,"Imp_A03","ABW_A01",191.55,NA,14898.446
"36",2013,"Imp_A04","ABW_A01",662.341,NA,14898.446
"37",2013,"Imp_A05","ABW_A01",215.209,NA,14898.446
"38",2013,"Imp_A06","ABW_A01",210.011,NA,14898.446
"39",2013,"Imp_A07","ABW_A01",1510.959,NA,14898.446
"40",2013,"Imp_A08","ABW_A01",284.517,NA,14898.446
"41",2013,"Imp_A09","ABW_A01",614.168,NA,14898.446
"42",2013,"Imp_A10","ABW_A01",168.856,NA,14898.446
"43",2013,"Imp_A11","ABW_A01",107.059,NA,14898.446
"44",2013,"Imp_A12","ABW_A01",83.886,NA,14898.446
"45",2013,"Imp_A13","ABW_A01",93.779,NA,14898.446
"46",2013,"Imp_A14","ABW_A01",117.287,NA,14898.446
"47",2013,"Imp_A15","ABW_A01",66.997,NA,14898.446
"48",2013,"Imp_A16","ABW_A01",87.567,NA,14898.446
"49",2013,"Imp_A17","ABW_A01",102.38,NA,14898.446
"50",2013,"Imp_A18","ABW_A01",114.679,NA,14898.446
"51",2013,"Imp_A19","ABW_A01",289.598,NA,14898.446
"52",2013,"Imp_A20","ABW_A01",120.692,NA,14898.446
"53",2013,"Imp_A21","ABW_A01",907.964,NA,14898.446
"54",2013,"Imp_A22","ABW_A01",92.406,NA,14898.446
"55",2013,"Imp_A23","ABW_A01",283.386,NA,14898.446
"56",2013,"Imp_A24","ABW_A01",68.596,NA,14898.446
"57",2013,"Imp_A25","ABW_A01",32.688,NA,14898.446
"58",2013,"Imp_A26","ABW_A01",478.726,NA,14898.446
"59",2013,"Imp_ZZZ","ABW_A01",-0.149,NA,14898.446
"60",2013,"ABW_A01","ABW_A02",0.097,14898.446,7273.015
"61",2013,"ABW_A02","ABW_A02",0.141,7273.015,7273.015
"62",2013,"ABW_A03","ABW_A02",1.364,82200.3450000006,7273.015
"63",2013,"ABW_A04","ABW_A02",4.606,86496.4169999997,7273.015
"64",2013,"ABW_A05","ABW_A02",2.507,19318.603,7273.015
"65",2013,"ABW_A06","ABW_A02",1.317,83542.842,7273.015
"66",2013,"ABW_A07","ABW_A02",4.494,551995.940999999,7273.015
"67",2013,"ABW_A08","ABW_A02",0.168,29359.0450000001,7273.015
"68",2013,"ABW_A09","ABW_A02",0.588,87675.7240000002,7273.015
"69",2013,"ABW_A10","ABW_A02",0.335,44477.4260000001,7273.015
"70",2013,"ABW_A11","ABW_A02",3.153,37892.8119999997,7273.015
