|ROW|COLNew|Value
0|ABW_A01|ABW_A01|0.135
1|ABW_A01|ABW_A02|0.1
2|ABW_A01|ABW_A03|1.845
3|ABW_A01|ABW_A04|715.485
4|ABW_A01|ABW_A05|3.048
5|ABW_A01|ABW_A06|116.841
6|ABW_A01|ABW_A07|58.483
7|ABW_A01|ABW_A08|0.17
8|ABW_A01|ABW_A09|0.181
9|ABW_A01|ABW_A10|0.143
10|ABW_A01|ABW_A11|0.839
11|ABW_A01|ABW_A12|0.124
12|ABW_A01|ABW_A13|0.677
13|ABW_A01|ABW_A14|53.189
14|ABW_A01|ABW_A15|0.213
15|ABW_A01|ABW_A16|3.319
16|ABW_A01|ABW_A17|4.854
17|ABW_A01|ABW_A18|219.795
18|ABW_A01|ABW_A19|0.964
19|ABW_A01|ABW_A20|0.279
20|ABW_A01|ABW_A21|82.085
21|ABW_A01|ABW_A22|6.852
22|ABW_A01|ABW_A23|20.994
23|ABW_A01|ABW_A24|0.201
24|ABW_A01|ABW_A25|0.127
25|ABW_A01|ABW_A26|0.103
26|ABW_A01|ABW_XG|8.756
27|ABW_A01|ABW_XH|2006.1
28|ABW_A01|ABW_XK01|48.905
29|ABW_A01|ABW_XK02|233.864
30|ABW_A01|ABW_XK03|0.176
31|ABW_A01|ABW_XNPISH|39.134
32|ABW_A02|ABW_A01|0.414
33|ABW_A02|ABW_A02|0.135
34|ABW_A02|ABW_A03|0.738
35|ABW_A02|ABW_A04|27.837
36|ABW_A02|ABW_A05|0.495
37|ABW_A02|ABW_A06|0.649
38|ABW_A02|ABW_A07|0.721
39|ABW_A02|ABW_A08|0.527
40|ABW_A02|ABW_A09|0.56
41|ABW_A02|ABW_A10|0.432
42|ABW_A02|ABW_A11|0.611
43|ABW_A02|ABW_A12|0.358
44|ABW_A02|ABW_A13|0.618
45|ABW_A02|ABW_A14|0.598
46|ABW_A02|ABW_A15|0.643
47|ABW_A02|ABW_A16|0.523
48|ABW_A02|ABW_A17|0.769
49|ABW_A02|ABW_A18|20.088
50|ABW_A02|ABW_A19|0.763
51|ABW_A02|ABW_A20|0.737
52|ABW_A02|ABW_A21|1.365
53|ABW_A02|ABW_A22|0.543
54|ABW_A02|ABW_A23|1.343
55|ABW_A02|ABW_A24|0.581
56|ABW_A02|ABW_A25|0.359
57|ABW_A02|ABW_A26|0.225
58|ABW_A02|ABW_XG|2.821
59|ABW_A02|ABW_XH|53.29
60|ABW_A02|ABW_XK01|0.227
61|ABW_A02|ABW_XK02|11.798
62|ABW_A02|ABW_XK03|0.227
63|ABW_A02|ABW_XNPISH|0.57
64|ABW_A03|ABW_A01|4.897
65|ABW_A03|ABW_A02|1.984
66|ABW_A03|ABW_A03|447.017
67|ABW_A03|ABW_A04|76.41
68|ABW_A03|ABW_A05|3.486
69|ABW_A03|ABW_A06|98.39
70|ABW_A03|ABW_A07|43201.5
71|ABW_A03|ABW_A08|102.592
72|ABW_A03|ABW_A09|4.995
73|ABW_A03|ABW_A10|7.616
74|ABW_A03|ABW_A11|9.856
75|ABW_A03|ABW_A12|619.702
76|ABW_A03|ABW_A13|22476.2
77|ABW_A03|ABW_A14|5689.21
78|ABW_A03|ABW_A15|0.89
79|ABW_A03|ABW_A16|40.139
80|ABW_A03|ABW_A17|22.849
81|ABW_A03|ABW_A18|162.25
82|ABW_A03|ABW_A19|1513.36
83|ABW_A03|ABW_A20|23.605
84|ABW_A03|ABW_A21|362.106
85|ABW_A03|ABW_A22|624.382
86|ABW_A03|ABW_A23|155.344
87|ABW_A03|ABW_A24|0.33
88|ABW_A03|ABW_A25|1.108
89|ABW_A03|ABW_A26|0.1
90|ABW_A03|ABW_XG|39.425
91|ABW_A03|ABW_XH|1067.02
92|ABW_A03|ABW_XK01|92.125
93|ABW_A03|ABW_XK02|1680.75
94|ABW_A03|ABW_XK03|0.435
95|ABW_A03|ABW_XNPISH|2.104
96|ABW_A04|ABW_A01|58.244
97|ABW_A04|ABW_A02|4.477
98|ABW_A04|ABW_A03|2.248
99|ABW_A04|ABW_A04|978.421
100|ABW_A04|ABW_A05|18.595
101|ABW_A04|ABW_A06|42.355
102|ABW_A04|ABW_A07|744.8
103|ABW_A04|ABW_A08|0.216
104|ABW_A04|ABW_A09|0.545
105|ABW_A04|ABW_A10|0.194
106|ABW_A04|ABW_A11|17.692
107|ABW_A04|ABW_A12|9.261
108|ABW_A04|ABW_A13|8.553
109|ABW_A04|ABW_A14|4.003
110|ABW_A04|ABW_A15|15.617
111|ABW_A04|ABW_A16|120.502
112|ABW_A04|ABW_A17|729.362
113|ABW_A04|ABW_A18|13564.1
114|ABW_A04|ABW_A19|13.674
115|ABW_A04|ABW_A20|3.647
116|ABW_A04|ABW_A21|714.234
117|ABW_A04|ABW_A22|796.77
118|ABW_A04|ABW_A23|1492.6
119|ABW_A04|ABW_A24|11.216
120|ABW_A04|ABW_A25|0.196
121|ABW_A04|ABW_A26|0.154
122|ABW_A04|ABW_XG|0.154
123|ABW_A04|ABW_XH|35435.1
124|ABW_A04|ABW_XK01|0.183
125|ABW_A04|ABW_XK02|1213.13
126|ABW_A04|ABW_XK03|0.183
127|ABW_A04|ABW_XNPISH|975.26
128|ABW_A05|ABW_A01|2.35
129|ABW_A05|ABW_A02|3.364
130|ABW_A05|ABW_A03|26.275
131|ABW_A05|ABW_A04|93.238
132|ABW_A05|ABW_A05|309.35
133|ABW_A05|ABW_A06|271.744
134|ABW_A05|ABW_A07|1605.51
135|ABW_A05|ABW_A08|6.829
136|ABW_A05|ABW_A09|60.35
137|ABW_A05|ABW_A10|47.255
138|ABW_A05|ABW_A11|337.007
139|ABW_A05|ABW_A12|3.895
140|ABW_A05|ABW_A13|79.163
141|ABW_A05|ABW_A14|774.509
142|ABW_A05|ABW_A15|11.332
143|ABW_A05|ABW_A16|273.491
144|ABW_A05|ABW_A17|336.915
145|ABW_A05|ABW_A18|401.809
