"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2009,"ABW_A01","ABW_A01",0.129,12124.935,12124.935
"2",2009,"ABW_A02","ABW_A01",0.408,1240.78900000001,12124.935
"3",2009,"ABW_A03","ABW_A01",4.78,59320.1740000001,12124.935
"4",2009,"ABW_A04","ABW_A01",79.48,69678.1589999999,12124.935
"5",2009,"ABW_A05","ABW_A01",2.151,15397.277,12124.935
"6",2009,"ABW_A06","ABW_A01",23.182,73459.3300000002,12124.935
"7",2009,"ABW_A07","ABW_A01",65.578,419459.580999999,12124.935
"8",2009,"ABW_A08","ABW_A01",1.228,18857.306,12124.935
"9",2009,"ABW_A09","ABW_A01",2.509,67297.165,12124.935
"10",2009,"ABW_A10","ABW_A01",0.265,31015.526,12124.935
"11",2009,"ABW_A11","ABW_A01",2.293,33774.8909999996,12124.935
"12",2009,"ABW_A12","ABW_A01",0.166,12120.125,12124.935
"13",2009,"ABW_A13","ABW_A01",109.426,217731.748000005,12124.935
"14",2009,"ABW_A14","ABW_A01",22.961,364091.192999999,12124.935
"15",2009,"ABW_A15","ABW_A01",4.615,14903.483,12124.935
"16",2009,"ABW_A16","ABW_A01",291.72,240238.214000001,12124.935
"17",2009,"ABW_A17","ABW_A01",18.877,196299.7,12124.935
"18",2009,"ABW_A18","ABW_A01",13.307,526043.029000001,12124.935
"19",2009,"ABW_A19","ABW_A01",67.52,207324.45,12124.935
"20",2009,"ABW_A20","ABW_A01",6.791,160205.751,12124.935
"21",2009,"ABW_A21","ABW_A01",869.071,948642.354999976,12124.935
"22",2009,"ABW_A22","ABW_A01",1.435,412651.741,12124.935
"23",2009,"ABW_A23","ABW_A01",25.967,496197.804999999,12124.935
"24",2009,"ABW_A24","ABW_A01",0.1,10057.274,12124.935
"25",2009,"ABW_A25","ABW_A01",0.437,5053.32200000008,12124.935
"26",2009,"ABW_A26","ABW_A01",0.259,5677.01199999999,12124.935
"27",2009,"LG01_LG01","ABW_A01",94.424,NA,12124.935
"28",2009,"LG02_LG02","ABW_A01",-26.27,NA,12124.935
"29",2009,"LH01_LH01","ABW_A01",2723.73,NA,12124.935
"30",2009,"LK01_LK01","ABW_A01",1497.71,NA,12124.935
"31",2009,"LK02_LK02","ABW_A01",122.478,NA,12124.935
"32",2009,"LK03_LK03","ABW_A01",503.688,NA,12124.935
"33",2009,"Imp_A01","ABW_A01",765.19,NA,12124.935
"34",2009,"Imp_A02","ABW_A01",39.663,NA,12124.935
"35",2009,"Imp_A03","ABW_A01",127.013,NA,12124.935
"36",2009,"Imp_A04","ABW_A01",458.203,NA,12124.935
"37",2009,"Imp_A05","ABW_A01",144.599,NA,12124.935
"38",2009,"Imp_A06","ABW_A01",142.17,NA,12124.935
"39",2009,"Imp_A07","ABW_A01",1071.15,NA,12124.935
"40",2009,"Imp_A08","ABW_A01",193.706,NA,12124.935
"41",2009,"Imp_A09","ABW_A01",425.032,NA,12124.935
"42",2009,"Imp_A10","ABW_A01",114.356,NA,12124.935
"43",2009,"Imp_A11","ABW_A01",71.767,NA,12124.935
"44",2009,"Imp_A12","ABW_A01",55.369,NA,12124.935
"45",2009,"Imp_A13","ABW_A01",62.612,NA,12124.935
"46",2009,"Imp_A14","ABW_A01",78.127,NA,12124.935
"47",2009,"Imp_A15","ABW_A01",43.755,NA,12124.935
"48",2009,"Imp_A16","ABW_A01",56.593,NA,12124.935
"49",2009,"Imp_A17","ABW_A01",64.793,NA,12124.935
"50",2009,"Imp_A18","ABW_A01",77.404,NA,12124.935
"51",2009,"Imp_A19","ABW_A01",198.142,NA,12124.935
"52",2009,"Imp_A20","ABW_A01",81.022,NA,12124.935
"53",2009,"Imp_A21","ABW_A01",657.84,NA,12124.935
"54",2009,"Imp_A22","ABW_A01",60.86,NA,12124.935
"55",2009,"Imp_A23","ABW_A01",190.714,NA,12124.935
"56",2009,"Imp_A24","ABW_A01",45.027,NA,12124.935
"57",2009,"Imp_A25","ABW_A01",21.643,NA,12124.935
"58",2009,"Imp_A26","ABW_A01",354.217,NA,12124.935
"59",2009,"Imp_ZZZ","ABW_A01",-6.447,NA,12124.935
"60",2009,"ABW_A01","ABW_A02",0.105,12124.935,1240.78900000001
"61",2009,"ABW_A02","ABW_A02",0.129,1240.78900000001,1240.78900000001
"62",2009,"ABW_A03","ABW_A02",1.909,59320.1740000001,1240.78900000001
"63",2009,"ABW_A04","ABW_A02",5.916,69678.1589999999,1240.78900000001
"64",2009,"ABW_A05","ABW_A02",2.92,15397.277,1240.78900000001
"65",2009,"ABW_A06","ABW_A02",1.774,73459.3300000002,1240.78900000001
"66",2009,"ABW_A07","ABW_A02",7.759,419459.580999999,1240.78900000001
"67",2009,"ABW_A08","ABW_A02",0.211,18857.306,1240.78900000001
"68",2009,"ABW_A09","ABW_A02",0.729,67297.165,1240.78900000001
"69",2009,"ABW_A10","ABW_A02",0.383,31015.526,1240.78900000001
"70",2009,"ABW_A11","ABW_A02",4.026,33774.8909999996,1240.78900000001
"71",2009,"ABW_A12","ABW_A02",0.101,12120.125,1240.78900000001
"72",2009,"ABW_A13","ABW_A02",3.153,217731.748000005,1240.78900000001
"73",2009,"ABW_A14","ABW_A02",1.385,364091.192999999,1240.78900000001
"74",2009,"ABW_A15","ABW_A02",0.595,14903.483,1240.78900000001
"75",2009,"ABW_A16","ABW_A02",34.412,240238.214000001,1240.78900000001
