|ROW|COL|Value
17|ABW_A18|ABW_A03|140.155
18|ABW_A19|ABW_A03|1100.18
19|ABW_A20|ABW_A03|160.611
20|ABW_A21|ABW_A03|9939.58
21|ABW_A22|ABW_A03|16.928
22|ABW_A23|ABW_A03|99.543
23|ABW_A24|ABW_A03|0.515
24|ABW_A25|ABW_A03|15.905
25|ABW_A26|ABW_A03|2.788
26|ABW_LG01|ABW_A03|993.727
27|ABW_LG02|ABW_A03|-11.221
28|ABW_LH01|ABW_A03|19830.2
29|ABW_LK01|ABW_A03|7327.88
30|ABW_LK02|ABW_A03|803.969
31|ABW_LK03|ABW_A03|2994.09
32|Imp_A01|ABW_A03|2014.966
33|Imp_A02|ABW_A03|588.281
34|Imp_A03|ABW_A03|7164.925
35|Imp_A04|ABW_A03|1855.872
36|Imp_A05|ABW_A03|1126.287
37|Imp_A06|ABW_A03|1001.289
38|Imp_A07|ABW_A03|6012.364
39|Imp_A08|ABW_A03|2001.7269999999999
40|Imp_A09|ABW_A03|5217.9220000000005
41|Imp_A10|ABW_A03|1257.493
42|Imp_A11|ABW_A03|733.611
43|Imp_A12|ABW_A03|505.405
44|Imp_A13|ABW_A03|565.939
45|Imp_A14|ABW_A03|1094.566
46|Imp_A15|ABW_A03|637.278
47|Imp_A16|ABW_A03|965.5
48|Imp_A17|ABW_A03|1310.612
49|Imp_A18|ABW_A03|1041.021
50|Imp_A19|ABW_A03|1436.24
51|Imp_A20|ABW_A03|948.026
52|Imp_A21|ABW_A03|4522.08
53|Imp_A22|ABW_A03|849.375
54|Imp_A23|ABW_A03|2004.065
55|Imp_A24|ABW_A03|620.097
56|Imp_A25|ABW_A03|237.314
57|Imp_A26|ABW_A03|3081.589
58|Imp_ZL0008|ABW_A03|6.256
59|Imp_ZLR1|ABW_A03|0.0
0|ABW_A01|ABW_A04|614.571
1|ABW_A02|ABW_A04|32.058
2|ABW_A03|ABW_A04|50.885
3|ABW_A04|ABW_A04|1020.9
4|ABW_A05|ABW_A04|76.179
5|ABW_A06|ABW_A04|1944.43
6|ABW_A07|ABW_A04|626.96
7|ABW_A08|ABW_A04|343.038
8|ABW_A09|ABW_A04|78.539
9|ABW_A10|ABW_A04|16.777
10|ABW_A11|ABW_A04|186.012
11|ABW_A12|ABW_A04|31.024
12|ABW_A13|ABW_A04|2450.97
13|ABW_A14|ABW_A04|310.129
14|ABW_A15|ABW_A04|88.246
15|ABW_A16|ABW_A04|5104.86
16|ABW_A17|ABW_A04|96.388
17|ABW_A18|ABW_A04|656.582
18|ABW_A19|ABW_A04|1204.19
19|ABW_A20|ABW_A04|183.486
20|ABW_A21|ABW_A04|6370.18
21|ABW_A22|ABW_A04|18.095
22|ABW_A23|ABW_A04|206.5
23|ABW_A24|ABW_A04|0.118
24|ABW_A25|ABW_A04|32.947
25|ABW_A26|ABW_A04|0.197
26|ABW_LG01|ABW_A04|111.888
27|ABW_LG02|ABW_A04|-8.087
28|ABW_LH01|ABW_A04|3867.06
29|ABW_LK01|ABW_A04|2196.36
30|ABW_LK02|ABW_A04|283.155
31|ABW_LK03|ABW_A04|711.631
32|Imp_A01|ABW_A04|13532.243
33|Imp_A02|ABW_A04|3573.006
34|Imp_A03|ABW_A04|613.567
35|Imp_A04|ABW_A04|27950.276
36|Imp_A05|ABW_A04|956.157
37|Imp_A06|ABW_A04|2155.915
38|Imp_A07|ABW_A04|3005.772
39|Imp_A08|ABW_A04|1562.41
40|Imp_A09|ABW_A04|2532.144
41|Imp_A10|ABW_A04|607.525
42|Imp_A11|ABW_A04|445.443
43|Imp_A12|ABW_A04|257.072
44|Imp_A13|ABW_A04|319.125
45|Imp_A14|ABW_A04|532.222
46|Imp_A15|ABW_A04|347.982
47|Imp_A16|ABW_A04|1579.35
48|Imp_A17|ABW_A04|1127.579
49|Imp_A18|ABW_A04|740.057
50|Imp_A19|ABW_A04|689.297
51|Imp_A20|ABW_A04|553.84
