"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2017,"ABW_A01","ABW_A01",0.141,34898.098,34898.098
"2",2017,"ABW_A02","ABW_A01",0.554,24229.794,34898.098
"3",2017,"ABW_A03","ABW_A01",4.817,105162.137,34898.098
"4",2017,"ABW_A04","ABW_A01",85.538,108738.456999999,34898.098
"5",2017,"ABW_A05","ABW_A01",2.468,37968.3889999999,34898.098
"6",2017,"ABW_A06","ABW_A01",24.538,108035.434,34898.098
"7",2017,"ABW_A07","ABW_A01",51.495,743065.475999999,34898.098
"8",2017,"ABW_A08","ABW_A01",1.454,61375.3029999999,34898.098
"9",2017,"ABW_A09","ABW_A01",3.276,118937.442,34898.098
"10",2017,"ABW_A10","ABW_A01",0.347,79486.8620000001,34898.098
"11",2017,"ABW_A11","ABW_A01",2.504,57625.503,34898.098
"12",2017,"ABW_A12","ABW_A01",0.2,30799.402,34898.098
"13",2017,"ABW_A13","ABW_A01",109.243,249067.400999998,34898.098
"14",2017,"ABW_A14","ABW_A01",24.666,387998.778,34898.098
"15",2017,"ABW_A15","ABW_A01",4.596,51734.216,34898.098
"16",2017,"ABW_A16","ABW_A01",305.053,344722.486,34898.098
"17",2017,"ABW_A17","ABW_A01",30.116,283873.289,34898.098
"18",2017,"ABW_A18","ABW_A01",12.762,702409.795000001,34898.098
"19",2017,"ABW_A19","ABW_A01",57.744,339584.496,34898.098
"20",2017,"ABW_A20","ABW_A01",6.637,209207.075,34898.098
"21",2017,"ABW_A21","ABW_A01",896.323,1063864.062,34898.098
"22",2017,"ABW_A22","ABW_A01",1.525,442183.594,34898.098
"23",2017,"ABW_A23","ABW_A01",26.99,600404.771000001,34898.098
"24",2017,"ABW_A24","ABW_A01",0.105,41233.3250000001,34898.098
"25",2017,"ABW_A25","ABW_A01",0.501,35038.9420000001,34898.098
"26",2017,"ABW_A26","ABW_A01",0.247,28846.804,34898.098
"27",2017,"LG01_LG01","ABW_A01",16.1,NA,34898.098
"28",2017,"LG02_LG02","ABW_A01",-284.872,NA,34898.098
"29",2017,"LH01_LH01","ABW_A01",386.063,NA,34898.098
"30",2017,"LK01_LK01","ABW_A01",255.365,NA,34898.098
"31",2017,"LK02_LK02","ABW_A01",20.883,NA,34898.098
"32",2017,"LK03_LK03","ABW_A01",85.881,NA,34898.098
"33",2017,"Imp_A01","ABW_A01",4360.299,NA,34898.098
"34",2017,"Imp_A02","ABW_A01",402.714,NA,34898.098
"35",2017,"Imp_A03","ABW_A01",832.392,NA,34898.098
"36",2017,"Imp_A04","ABW_A01",2659.21,NA,34898.098
"37",2017,"Imp_A05","ABW_A01",831.118,NA,34898.098
"38",2017,"Imp_A06","ABW_A01",859.761,NA,34898.098
"39",2017,"Imp_A07","ABW_A01",5885.954,NA,34898.098
"40",2017,"Imp_A08","ABW_A01",1160.879,NA,34898.098
"41",2017,"Imp_A09","ABW_A01",2471.557,NA,34898.098
"42",2017,"Imp_A10","ABW_A01",725.621,NA,34898.098
"43",2017,"Imp_A11","ABW_A01",463.832,NA,34898.098
"44",2017,"Imp_A12","ABW_A01",334.986,NA,34898.098
"45",2017,"Imp_A13","ABW_A01",444.219,NA,34898.098
"46",2017,"Imp_A14","ABW_A01",633.593,NA,34898.098
"47",2017,"Imp_A15","ABW_A01",324.855,NA,34898.098
"48",2017,"Imp_A16","ABW_A01",510.506,NA,34898.098
"49",2017,"Imp_A17","ABW_A01",674.647,NA,34898.098
"50",2017,"Imp_A18","ABW_A01",544.935,NA,34898.098
"51",2017,"Imp_A19","ABW_A01",863.696,NA,34898.098
"52",2017,"Imp_A20","ABW_A01",552.529,NA,34898.098
"53",2017,"Imp_A21","ABW_A01",3391.478,NA,34898.098
"54",2017,"Imp_A22","ABW_A01",478.933,NA,34898.098
"55",2017,"Imp_A23","ABW_A01",1196.682,NA,34898.098
"56",2017,"Imp_A24","ABW_A01",318.829,NA,34898.098
"57",2017,"Imp_A25","ABW_A01",192.439,NA,34898.098
"58",2017,"Imp_A26","ABW_A01",1671.587,NA,34898.098
"59",2017,"Imp_ZZZ","ABW_A01",-22.413,NA,34898.098
"60",2017,"ABW_A01","ABW_A02",0.097,34898.098,24229.794
"61",2017,"ABW_A02","ABW_A02",0.141,24229.794,24229.794
"62",2017,"ABW_A03","ABW_A02",1.617,105162.137,24229.794
"63",2017,"ABW_A04","ABW_A02",5.254,108738.456999999,24229.794
"64",2017,"ABW_A05","ABW_A02",2.76,37968.3889999999,24229.794
"65",2017,"ABW_A06","ABW_A02",1.555,108035.434,24229.794
"66",2017,"ABW_A07","ABW_A02",5.237,743065.475999999,24229.794
"67",2017,"ABW_A08","ABW_A02",0.18,61375.3029999999,24229.794
"68",2017,"ABW_A09","ABW_A02",0.644,118937.442,24229.794
"69",2017,"ABW_A10","ABW_A02",0.349,79486.8620000001,24229.794
"70",2017,"ABW_A11","ABW_A02",3.631,57625.503,24229.794
"71",2017,"ABW_A12","ABW_A02",0.103,30799.402,24229.794
"72",2017,"ABW_A13","ABW_A02",2.68,249067.400999998,24229.794
"73",2017,"ABW_A14","ABW_A02",1.266,387998.778,24229.794
"74",2017,"ABW_A15","ABW_A02",0.489,51734.216,24229.794
"75",2017,"ABW_A16","ABW_A02",30.766,344722.486,24229.794
"76",2017,"ABW_A17","ABW_A02",5.255,283873.289,24229.794
"77",2017,"ABW_A18","ABW_A02",0.808,702409.795000001,24229.794
"78",2017,"ABW_A19","ABW_A02",5.256,339584.496,24229.794
"79",2017,"ABW_A20","ABW_A02",1.668,209207.075,24229.794
"80",2017,"ABW_A21","ABW_A02",29.221,1063864.062,24229.794
"81",2017,"ABW_A22","ABW_A02",0.104,442183.594,24229.794
"82",2017,"ABW_A23","ABW_A02",9.171,600404.771000001,24229.794
"83",2017,"ABW_A24","ABW_A02",0.092,41233.3250000001,24229.794
"84",2017,"ABW_A25","ABW_A02",0.25,35038.9420000001,24229.794
"85",2017,"ABW_A26","ABW_A02",0.112,28846.804,24229.794
"86",2017,"LG01_LG01","ABW_A02",1.788,NA,24229.794
"87",2017,"LG02_LG02","ABW_A02",-189.84,NA,24229.794
"88",2017,"LH01_LH01","ABW_A02",202.583,NA,24229.794
"89",2017,"LK01_LK01","ABW_A02",33.645,NA,24229.794
"90",2017,"LK02_LK02","ABW_A02",2.388,NA,24229.794
"91",2017,"LK03_LK03","ABW_A02",11.374,NA,24229.794
"92",2017,"Imp_A01","ABW_A02",1473.139,NA,24229.794
"93",2017,"Imp_A02","ABW_A02",523.843,NA,24229.794
"94",2017,"Imp_A03","ABW_A02",958.777,NA,24229.794
"95",2017,"Imp_A04","ABW_A02",1804.947,NA,24229.794
"96",2017,"Imp_A05","ABW_A02",928.293,NA,24229.794
"97",2017,"Imp_A06","ABW_A02",768.719,NA,24229.794
"98",2017,"Imp_A07","ABW_A02",2194.729,NA,24229.794
