"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2012,"ABW_A01","ABW_A01",0.138,14875.129,14875.129
"2",2012,"ABW_A02","ABW_A01",0.509,7266.282,14875.129
"3",2012,"ABW_A03","ABW_A01",4.316,68039.1019999999,14875.129
"4",2012,"ABW_A04","ABW_A01",79.582,83583.4579999998,14875.129
"5",2012,"ABW_A05","ABW_A01",2.308,19031.0200000001,14875.129
"6",2012,"ABW_A06","ABW_A01",21.825,81140.5319999999,14875.129
"7",2012,"ABW_A07","ABW_A01",47.732,532020.612000001,14875.129
"8",2012,"ABW_A08","ABW_A01",1.405,28896.0040000001,14875.129
"9",2012,"ABW_A09","ABW_A01",3.121,86377.5180000001,14875.129
"10",2012,"ABW_A10","ABW_A01",0.351,43587.7410000001,14875.129
"11",2012,"ABW_A11","ABW_A01",2.253,37370.9180000002,14875.129
"12",2012,"ABW_A12","ABW_A01",0.19,10265.116,14875.129
"13",2012,"ABW_A13","ABW_A01",96.309,245031.326,14875.129
"14",2012,"ABW_A14","ABW_A01",19.898,405983.803000002,14875.129
"15",2012,"ABW_A15","ABW_A01",4.24,17479.8,14875.129
"16",2012,"ABW_A16","ABW_A01",254.457,264497.511999999,14875.129
"17",2012,"ABW_A17","ABW_A01",15.868,220887.609,14875.129
"18",2012,"ABW_A18","ABW_A01",11.146,570113.922000003,14875.129
"19",2012,"ABW_A19","ABW_A01",53.658,244965.826999999,14875.129
"20",2012,"ABW_A20","ABW_A01",5.779,182815.546,14875.129
"21",2012,"ABW_A21","ABW_A01",747.389,1029701.632,14875.129
"22",2012,"ABW_A22","ABW_A01",1.197,467231.047,14875.129
"23",2012,"ABW_A23","ABW_A01",21.414,557535.989999997,14875.129
"24",2012,"ABW_A24","ABW_A01",0.095,12965.809,14875.129
"25",2012,"ABW_A25","ABW_A01",0.458,10271.299,14875.129
"26",2012,"ABW_A26","ABW_A01",0.243,8161.66999999999,14875.129
"27",2012,"LG01_LG01","ABW_A01",114.346,NA,14875.129
"28",2012,"LG02_LG02","ABW_A01",-27.94,NA,14875.129
"29",2012,"LH01_LH01","ABW_A01",2847.56,NA,14875.129
"30",2012,"LK01_LK01","ABW_A01",1813.72,NA,14875.129
"31",2012,"LK02_LK02","ABW_A01",148.32,NA,14875.129
"32",2012,"LK03_LK03","ABW_A01",609.961,NA,14875.129
"33",2012,"Imp_A01","ABW_A01",1057.171,NA,14875.129
"34",2012,"Imp_A02","ABW_A01",59.4,NA,14875.129
"35",2012,"Imp_A03","ABW_A01",188.764,NA,14875.129
"36",2012,"Imp_A04","ABW_A01",656.322,NA,14875.129
