"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2010,"ABW_A01","ABW_A01",0.124,12865.359,12865.359
"2",2010,"ABW_A02","ABW_A01",0.405,6024.918,12865.359
"3",2010,"ABW_A03","ABW_A01",4.556,60182.1820000001,12865.359
"4",2010,"ABW_A04","ABW_A01",77.38,72025.1450000001,12865.359
"5",2010,"ABW_A05","ABW_A01",2.142,16302.013,12865.359
"6",2010,"ABW_A06","ABW_A01",22.519,71049.8169999998,12865.359
"7",2010,"ABW_A07","ABW_A01",56.208,447878.331,12865.359
"8",2010,"ABW_A08","ABW_A01",1.21,24435.545,12865.359
"9",2010,"ABW_A09","ABW_A01",2.496,73760.661,12865.359
"10",2010,"ABW_A10","ABW_A01",0.272,36723.659,12865.359
"11",2010,"ABW_A11","ABW_A01",2.237,32552.4900000001,12865.359
"12",2010,"ABW_A12","ABW_A01",0.171,8547.24599999997,12865.359
"13",2010,"ABW_A13","ABW_A01",102.944,217053.892000002,12865.359
"14",2010,"ABW_A14","ABW_A01",21.026,361647.608999999,12865.359
"15",2010,"ABW_A15","ABW_A01",4.35,16038.134,12865.359
"16",2010,"ABW_A16","ABW_A01",270.916,239934.859000001,12865.359
"17",2010,"ABW_A17","ABW_A01",16.941,196824.611,12865.359
"18",2010,"ABW_A18","ABW_A01",11.973,523150.533000001,12865.359
"19",2010,"ABW_A19","ABW_A01",60.241,240763.018,12865.359
"20",2010,"ABW_A20","ABW_A01",6.154,160641.687,12865.359
"21",2010,"ABW_A21","ABW_A01",801.308,933857.882000014,12865.359
"22",2010,"ABW_A22","ABW_A01",1.285,413831.819,12865.359
"23",2010,"ABW_A23","ABW_A01",23.096,496546.072,12865.359
"24",2010,"ABW_A24","ABW_A01",0.1,11164.708,12865.359
"25",2010,"ABW_A25","ABW_A01",0.421,8965.81399999999,12865.359
"26",2010,"ABW_A26","ABW_A01",0.25,6962.565,12865.359
"27",2010,"LG01_LG01","ABW_A01",94.488,NA,12865.359
"28",2010,"LG02_LG02","ABW_A01",-24.644,NA,12865.359
"29",2010,"LH01_LH01","ABW_A01",2725.59,NA,12865.359
"30",2010,"LK01_LK01","ABW_A01",1498.73,NA,12865.359
"31",2010,"LK02_LK02","ABW_A01",122.561,NA,12865.359
"32",2010,"LK03_LK03","ABW_A01",504.031,NA,12865.359
"33",2010,"Imp_A01","ABW_A01",878.331,NA,12865.359
"34",2010,"Imp_A02","ABW_A01",46.509,NA,12865.359
"35",2010,"Imp_A03","ABW_A01",148.185,NA,12865.359
"36",2010,"Imp_A04","ABW_A01",527.096,NA,12865.359
"37",2010,"Imp_A05","ABW_A01",168.174,NA,12865.359
"38",2010,"Imp_A06","ABW_A01",165.46,NA,12865.359
"39",2010,"Imp_A07","ABW_A01",1228.15,NA,12865.359
"40",2010,"Imp_A08","ABW_A01",224.967,NA,12865.359
"41",2010,"Imp_A09","ABW_A01",489.587,NA,12865.359
"42",2010,"Imp_A10","ABW_A01",132.837,NA,12865.359
"43",2010,"Imp_A11","ABW_A01",83.972,NA,12865.359
"44",2010,"Imp_A12","ABW_A01",64.878,NA,12865.359
"45",2010,"Imp_A13","ABW_A01",73.032,NA,12865.359
"46",2010,"Imp_A14","ABW_A01",91.975,NA,12865.359
"47",2010,"Imp_A15","ABW_A01",51.289,NA,12865.359
"48",2010,"Imp_A16","ABW_A01",66.809,NA,12865.359
"49",2010,"Imp_A17","ABW_A01",77.006,NA,12865.359
"50",2010,"Imp_A18","ABW_A01",90.843,NA,12865.359
"51",2010,"Imp_A19","ABW_A01",230.995,NA,12865.359
"52",2010,"Imp_A20","ABW_A01",94.591,NA,12865.359
"53",2010,"Imp_A21","ABW_A01",759.417,NA,12865.359
"54",2010,"Imp_A22","ABW_A01",71.853,NA,12865.359
"55",2010,"Imp_A23","ABW_A01",223.796,NA,12865.359
"56",2010,"Imp_A24","ABW_A01",52.79,NA,12865.359
"57",2010,"Imp_A25","ABW_A01",25.433,NA,12865.359
"58",2010,"Imp_A26","ABW_A01",392.744,NA,12865.359
"59",2010,"Imp_ZZZ","ABW_A01",-6.841,NA,12865.359
"60",2010,"ABW_A01","ABW_A02",0.1,12865.359,6024.918
"61",2010,"ABW_A02","ABW_A02",0.124,6024.918,6024.918
"62",2010,"ABW_A03","ABW_A02",1.773,60182.1820000001,6024.918
"63",2010,"ABW_A04","ABW_A02",5.6,72025.1450000001,6024.918
"64",2010,"ABW_A05","ABW_A02",2.826,16302.013,6024.918
"65",2010,"ABW_A06","ABW_A02",1.678,71049.8169999998,6024.918
"66",2010,"ABW_A07","ABW_A02",6.507,447878.331,6024.918
"67",2010,"ABW_A08","ABW_A02",0.203,24435.545,6024.918
"68",2010,"ABW_A09","ABW_A02",0.705,73760.661,6024.918
"69",2010,"ABW_A10","ABW_A02",0.383,36723.659,6024.918
"70",2010,"ABW_A11","ABW_A02",3.82,32552.4900000001,6024.918
"71",2010,"ABW_A12","ABW_A02",0.104,8547.24599999997,6024.918
"72",2010,"ABW_A13","ABW_A02",2.898,217053.892000002,6024.918
"73",2010,"ABW_A14","ABW_A02",1.241,361647.608999999,6024.918
"74",2010,"ABW_A15","ABW_A02",0.544,16038.134,6024.918
