"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2021,"ABW_A01","ABW_A01",0.141,30067.7440000001,30067.7440000001
"2",2021,"ABW_A02","ABW_A01",0.59,20819.893,30067.7440000001
"3",2021,"ABW_A03","ABW_A01",3.958,101257.625,30067.7440000001
"4",2021,"ABW_A04","ABW_A01",74.832,101780.364,30067.7440000001
"5",2021,"ABW_A05","ABW_A01",2.364,34129.5960000001,30067.7440000001
"6",2021,"ABW_A06","ABW_A01",20.508,102351.965,30067.7440000001
"7",2021,"ABW_A07","ABW_A01",42.042,725805.908,30067.7440000001
"8",2021,"ABW_A08","ABW_A01",1.326,54903.4750000002,30067.7440000001
"9",2021,"ABW_A09","ABW_A01",3.421,103079.031,30067.7440000001
"10",2021,"ABW_A10","ABW_A01",0.429,65110.1319999999,30067.7440000001
"11",2021,"ABW_A11","ABW_A01",2.219,53228.4399999998,30067.7440000001
"12",2021,"ABW_A12","ABW_A01",0.198,28113.9089999999,30067.7440000001
"13",2021,"ABW_A13","ABW_A01",88.441,245240.908000001,30067.7440000001
"14",2021,"ABW_A14","ABW_A01",19.841,376508.178,30067.7440000001
"15",2021,"ABW_A15","ABW_A01",3.981,47329.508,30067.7440000001
"16",2021,"ABW_A16","ABW_A01",244.61,330037.435999999,30067.7440000001
"17",2021,"ABW_A17","ABW_A01",24.105,271419.441,30067.7440000001
"18",2021,"ABW_A18","ABW_A01",10.586,678821.137999998,30067.7440000001
"19",2021,"ABW_A19","ABW_A01",47.384,321807.316,30067.7440000001
"20",2021,"ABW_A20","ABW_A01",5.333,201193.672,30067.7440000001
"21",2021,"ABW_A21","ABW_A01",691.306,1035736.975,30067.7440000001
"22",2021,"ABW_A22","ABW_A01",1.234,421465.202,30067.7440000001
"23",2021,"ABW_A23","ABW_A01",21.755,572452.900000002,30067.7440000001
"24",2021,"ABW_A24","ABW_A01",0.094,37222.282,30067.7440000001
"25",2021,"ABW_A25","ABW_A01",0.494,29782.112,30067.7440000001
"26",2021,"ABW_A26","ABW_A01",0.242,26376.316,30067.7440000001
"27",2021,"LG01_LG01","ABW_A01",15.564,NA,30067.7440000001
"28",2021,"LG02_LG02","ABW_A01",-384.624,NA,30067.7440000001
"29",2021,"LH01_LH01","ABW_A01",373.216,NA,30067.7440000001
"30",2021,"LK01_LK01","ABW_A01",246.867,NA,30067.7440000001
"31",2021,"LK02_LK02","ABW_A01",20.189,NA,30067.7440000001
"32",2021,"LK03_LK03","ABW_A01",83.024,NA,30067.7440000001
"33",2021,"Imp_A01","ABW_A01",3803.069,NA,30067.7440000001
"34",2021,"Imp_A02","ABW_A01",365.749,NA,30067.7440000001
"35",2021,"Imp_A03","ABW_A01",748.247,NA,30067.7440000001
"36",2021,"Imp_A04","ABW_A01",2278.728,NA,30067.7440000001
"37",2021,"Imp_A05","ABW_A01",738.352,NA,30067.7440000001
"38",2021,"Imp_A06","ABW_A01",742.48,NA,30067.7440000001
"39",2021,"Imp_A07","ABW_A01",4883.879,NA,30067.7440000001
"40",2021,"Imp_A08","ABW_A01",1009.446,NA,30067.7440000001
"41",2021,"Imp_A09","ABW_A01",2077.604,NA,30067.7440000001
"42",2021,"Imp_A10","ABW_A01",641.465,NA,30067.7440000001
"43",2021,"Imp_A11","ABW_A01",412.929,NA,30067.7440000001
"44",2021,"Imp_A12","ABW_A01",312.814,NA,30067.7440000001
"45",2021,"Imp_A13","ABW_A01",410.585,NA,30067.7440000001
"46",2021,"Imp_A14","ABW_A01",567.062,NA,30067.7440000001
"47",2021,"Imp_A15","ABW_A01",311.007,NA,30067.7440000001
"48",2021,"Imp_A16","ABW_A01",462.84,NA,30067.7440000001
"49",2021,"Imp_A17","ABW_A01",618.018,NA,30067.7440000001
"50",2021,"Imp_A18","ABW_A01",486.96,NA,30067.7440000001
"51",2021,"Imp_A19","ABW_A01",737.867,NA,30067.7440000001
"52",2021,"Imp_A20","ABW_A01",491.135,NA,30067.7440000001
"53",2021,"Imp_A21","ABW_A01",2826.376,NA,30067.7440000001
"54",2021,"Imp_A22","ABW_A01",443.338,NA,30067.7440000001
"55",2021,"Imp_A23","ABW_A01",1047.102,NA,30067.7440000001
"56",2021,"Imp_A24","ABW_A01",311.524,NA,30067.7440000001
"57",2021,"Imp_A25","ABW_A01",196.357,NA,30067.7440000001
"58",2021,"Imp_A26","ABW_A01",1493.834,NA,30067.7440000001
"59",2021,"Imp_ZZZ","ABW_A01",-16.693,NA,30067.7440000001
