ROW|GrossOutput
ARM_A24|33614.38399999999
ARM_A25|53022.993
ARM_A26|32273.489999999998
ATG_A01|55292.295
ATG_A02|14300.337
ATG_A03|36862.46400000001
ATG_A04|98224.025
ATG_A05|29193.861000000004
ATG_A06|60775.407
ATG_A07|140157.919
ATG_A08|66478.02100000001
ATG_A09|137913.647
ATG_A10|84880.327
ATG_A11|31607.706000000002
ATG_A12|14882.585000000001
ATG_A13|81977.033
ATG_A14|263541.83400000003
ATG_A15|27365.436999999998
ATG_A16|182785.00400000002
ATG_A17|171427.061
ATG_A18|121198.85800000002
ATG_A19|127705.971
ATG_A20|130300.12399999998
ATG_A21|580562.443
ATG_A22|203929.75499999998
ATG_A23|300785.934
ATG_A24|19409.3
ATG_A25|20421.159
ATG_A26|13514.645
AUS_A01|59495606.98
AUS_A02|3800367.179
AUS_A03|112510914.651
AUS_A04|95032294.65600002
AUS_A05|19869877.007
AUS_A06|49980884.212000005
AUS_A07|94258615.71200001
AUS_A08|98568583.048
AUS_A09|56179080.683000006
AUS_A10|55528645.25299999
AUS_A11|16713935.276
AUS_A12|753290.1280000003
AUS_A13|48187278.739999995
AUS_A14|189120290.879
AUS_A15|4336815.483999999
AUS_A16|128896085.92099999
AUS_A17|77933069.06899999
AUS_A18|74130368.78299999
AUS_A19|151764743.319
AUS_A20|75925919.557
AUS_A21|744831809.8390001
AUS_A22|123763928.31199998
AUS_A23|319770762.06000006
AUS_A24|2540791.797
AUS_A25|5380372.051
AUS_A26|632697.995
AUT_A01|14822318.797999999
AUT_A02|41281.397000000004
AUT_A03|3856481.186
AUT_A04|26476793.559000004
AUT_A05|11094377.376000002
AUT_A06|37170378.269
AUT_A07|45266583.463
AUT_A08|40172636.759
AUT_A09|62732229.374
AUT_A10|24096698.207999997
AUT_A11|10132783.678
AUT_A12|827336.961
AUT_A13|22610223.290000003
AUT_A14|55628585.536
AUT_A15|13531190.329
AUT_A16|47512347.598
AUT_A17|29731109.257999994
AUT_A18|29990862.247
AUT_A19|51851380.40599999
AUT_A20|20235738.329000004
AUT_A21|165484955.515
AUT_A22|33946253.47299999
AUT_A23|82089585.132
AUT_A24|744503.054
AUT_A25|3000009.596000001
AUT_A26|17067345.82
AZE_A01|4832237.2809999995
AZE_A02|128557.33800000002
AZE_A03|11807592.253000002
AZE_A04|2366813.061
AZE_A05|526328.55
AZE_A06|1291412.4179999998
AZE_A07|4323838.889
AZE_A08|1544911.852
AZE_A09|3468515.76
AZE_A10|1379477.922
AZE_A11|587032.8910000001
AZE_A12|104428.54000000001
AZE_A13|8228393.479
AZE_A14|7710862.148
AZE_A15|208113.668
AZE_A16|4077427.709
AZE_A17|3461409.9240000006
AZE_A18|2366574.358
AZE_A19|3378923.266
AZE_A20|3101657.4359999998
AZE_A21|10464803.600999998
AZE_A22|3394167.6239999994
AZE_A23|4388230.639
AZE_A24|104581.66699999999
AZE_A25|214670.64599999998
AZE_A26|34053.647000000004
BDI_A01|1122639.154
BDI_A02|152405.14599999998
BDI_A03|49313.918000000005
BDI_A04|364765.50299999997
BDI_A05|62010.38399999999
BDI_A06|144816.47900000002
BDI_A07|239088.58900000004
BDI_A08|115261.04599999999
BDI_A09|230577.862
BDI_A10|127433.95599999999
BDI_A11|64809.306
BDI_A12|33946.854
BDI_A13|78169.01999999999
BDI_A14|251996.235
BDI_A15|36384.292
BDI_A16|191310.277
BDI_A17|182738.936
BDI_A18|196365.06900000002
BDI_A19|135377.026
