"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",2018,"ABW_A01","ABW_A01",0.141,33090.8000000001,33090.8000000001
"2",2018,"ABW_A02","ABW_A01",0.577,22834.302,33090.8000000001
"3",2018,"ABW_A03","ABW_A01",4.353,108701.184,33090.8000000001
"4",2018,"ABW_A04","ABW_A01",78.869,109615.737,33090.8000000001
"5",2018,"ABW_A05","ABW_A01",2.41,36952.031,33090.8000000001
"6",2018,"ABW_A06","ABW_A01",22.355,108237.715,33090.8000000001
"7",2018,"ABW_A07","ABW_A01",44.847,778614.681000001,33090.8000000001
"8",2018,"ABW_A08","ABW_A01",1.374,59837.476,33090.8000000001
"9",2018,"ABW_A09","ABW_A01",3.573,111625.826999999,33090.8000000001
"10",2018,"ABW_A10","ABW_A01",0.437,70944.429,33090.8000000001
"11",2018,"ABW_A11","ABW_A01",2.317,57110.5600000002,33090.8000000001
"12",2018,"ABW_A12","ABW_A01",0.194,30705.2019999999,33090.8000000001
"13",2018,"ABW_A13","ABW_A01",98.421,258990.039,33090.8000000001
"14",2018,"ABW_A14","ABW_A01",21.674,402449.69,33090.8000000001
"15",2018,"ABW_A15","ABW_A01",4.063,52520.0649999999,33090.8000000001
"16",2018,"ABW_A16","ABW_A01",272.184,360180.635,33090.8000000001
"17",2018,"ABW_A17","ABW_A01",26.36,297635.893999999,33090.8000000001
"18",2018,"ABW_A18","ABW_A01",11.371,722187.744000001,33090.8000000001
"19",2018,"ABW_A19","ABW_A01",51.3,350177.429999998,33090.8000000001
"20",2018,"ABW_A20","ABW_A01",5.891,217314.73,33090.8000000001
"21",2018,"ABW_A21","ABW_A01",791.681,1110118.68799999,33090.8000000001
"22",2018,"ABW_A22","ABW_A01",1.337,460684.245,33090.8000000001
"23",2018,"ABW_A23","ABW_A01",24.025,624827.185000001,33090.8000000001
"24",2018,"ABW_A24","ABW_A01",0.095,41388.2110000001,33090.8000000001
"25",2018,"ABW_A25","ABW_A01",0.503,32845.016,33090.8000000001
"26",2018,"ABW_A26","ABW_A01",0.233,29077.2560000001,33090.8000000001
"27",2018,"LG01_LG01","ABW_A01",17.795,NA,33090.8000000001
"28",2018,"LG02_LG02","ABW_A01",-328.556,NA,33090.8000000001
"29",2018,"LH01_LH01","ABW_A01",426.698,NA,33090.8000000001
"30",2018,"LK01_LK01","ABW_A01",282.244,NA,33090.8000000001
"31",2018,"LK02_LK02","ABW_A01",23.081,NA,33090.8000000001
"32",2018,"LK03_LK03","ABW_A01",94.921,NA,33090.8000000001
"33",2018,"Imp_A01","ABW_A01",4190.476,NA,33090.8000000001
"34",2018,"Imp_A02","ABW_A01",390.263,NA,33090.8000000001
"35",2018,"Imp_A03","ABW_A01",803.374,NA,33090.8000000001
"36",2018,"Imp_A04","ABW_A01",2488.308,NA,33090.8000000001
"37",2018,"Imp_A05","ABW_A01",794.671,NA,33090.8000000001
"38",2018,"Imp_A06","ABW_A01",817.333,NA,33090.8000000001
"39",2018,"Imp_A07","ABW_A01",5414.987,NA,33090.8000000001
"40",2018,"Imp_A08","ABW_A01",1108.048,NA,33090.8000000001
"41",2018,"Imp_A09","ABW_A01",2256.179,NA,33090.8000000001
"42",2018,"Imp_A10","ABW_A01",693.235,NA,33090.8000000001
"43",2018,"Imp_A11","ABW_A01",447.13,NA,33090.8000000001
"44",2018,"Imp_A12","ABW_A01",334.306,NA,33090.8000000001
"45",2018,"Imp_A13","ABW_A01",444.351,NA,33090.8000000001
"46",2018,"Imp_A14","ABW_A01",615.22,NA,33090.8000000001
"47",2018,"Imp_A15","ABW_A01",335.932,NA,33090.8000000001
"48",2018,"Imp_A16","ABW_A01",506.52,NA,33090.8000000001
"49",2018,"Imp_A17","ABW_A01",676.337,NA,33090.8000000001
"50",2018,"Imp_A18","ABW_A01",529.626,NA,33090.8000000001
"51",2018,"Imp_A19","ABW_A01",799.84,NA,33090.8000000001
"52",2018,"Imp_A20","ABW_A01",536.862,NA,33090.8000000001
"53",2018,"Imp_A21","ABW_A01",3155.35,NA,33090.8000000001
"54",2018,"Imp_A22","ABW_A01",479.06,NA,33090.8000000001
"55",2018,"Imp_A23","ABW_A01",1138.641,NA,33090.8000000001
"56",2018,"Imp_A24","ABW_A01",332.22,NA,33090.8000000001
"57",2018,"Imp_A25","ABW_A01",213.436,NA,33090.8000000001
"58",2018,"Imp_A26","ABW_A01",1620.264,NA,33090.8000000001
"59",2018,"Imp_ZZZ","ABW_A01",-17.937,NA,33090.8000000001
"60",2018,"ABW_A01","ABW_A02",0.093,33090.8000000001,22834.302
"61",2018,"ABW_A02","ABW_A02",0.141,22834.302,22834.302
"62",2018,"ABW_A03","ABW_A02",1.406,108701.184,22834.302
"63",2018,"ABW_A04","ABW_A02",4.651,109615.737,22834.302
"64",2018,"ABW_A05","ABW_A02",2.594,36952.031,22834.302
"65",2018,"ABW_A06","ABW_A02",1.364,108237.715,22834.302
"66",2018,"ABW_A07","ABW_A02",4.375,778614.681000001,22834.302
"67",2018,"ABW_A08","ABW_A02",0.164,59837.476,22834.302
"68",2018,"ABW_A09","ABW_A02",0.677,111625.826999999,22834.302
"69",2018,"ABW_A10","ABW_A02",0.424,70944.429,22834.302
"70",2018,"ABW_A11","ABW_A02",3.235,57110.5600000002,22834.302
"71",2018,"ABW_A12","ABW_A02",0.096,30705.2019999999,22834.302
"72",2018,"ABW_A13","ABW_A02",2.324,258990.039,22834.302
"73",2018,"ABW_A14","ABW_A02",1.07,402449.69,22834.302
"74",2018,"ABW_A15","ABW_A02",0.416,52520.0649999999,22834.302
