"Country or Area","SNA93 Table Code","Sub Item","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA system","Value","Value Footnotes"
"Albania","2.3","Total Economy"," ","Output, at basic prices","P.1","2013","1000","lek","2008","2185278098953.3",""
"Albania","2.3","Total Economy"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","996741635793.238",""
"Albania","2.3","Total Economy"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","1188536463160.06",""
"Albania","2.3","Total Economy","","Gross fixed capital formation","P.51","2013","1000","lek","2008","353877791572.739",""
"Albania","2.3","Agriculture, hunting, forestry; fishing (A+B)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","372456069579.003",""
"Albania","2.3","Agriculture, hunting, forestry; fishing (A+B)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","104362901491.916",""
"Albania","2.3","Agriculture, hunting, forestry; fishing (A+B)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","268093168087.087",""
"Albania","2.3","Agriculture, hunting and related service activities (01)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","366028723805.213",""
"Albania","2.3","Agriculture, hunting and related service activities (01)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","99907697739.0755",""
"Albania","2.3","Agriculture, hunting and related service activities (01)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","266121026066.137",""
"Albania","2.3","Fishing (B)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","6427345773.79056",""
"Albania","2.3","Fishing (B)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","4455203752.84023",""
"Albania","2.3","Fishing (B)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","1972142020.95033",""
"Albania","2.3","Mining and quarrying (C)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","116267592670.076",""
"Albania","2.3","Mining and quarrying (C)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","44230505468.3184",""
"Albania","2.3","Mining and quarrying (C)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","72037087201.7572",""
"Albania","2.3","Manufacturing (D)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","268009015363.478",""
"Albania","2.3","Manufacturing (D)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","192229002449.923",""
"Albania","2.3","Manufacturing (D)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","75780012913.5553",""
"Albania","2.3","Electricity, gas and water supply (E)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","45904788246.4927",""
"Albania","2.3","Electricity, gas and water supply (E)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","14670164106.8097",""
"Albania","2.3","Electricity, gas and water supply (E)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","31234624139.683",""
"Albania","2.3","Construction (F)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","392499198584.654",""
"Albania","2.3","Construction (F)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","249089574071.923",""
"Albania","2.3","Construction (F)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","143409624512.732",""
"Albania","2.3","Wholesale retail trade, repair of motor vehicles, motorcycles, etc.; hotels and restaurants (G+H)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","290017643404.409",""
"Albania","2.3","Wholesale retail trade, repair of motor vehicles, motorcycles, etc.; hotels and restaurants (G+H)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","110632003301.263",""
"Albania","2.3","Wholesale retail trade, repair of motor vehicles, motorcycles, etc.; hotels and restaurants (G+H)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","179385640103.145",""
"Albania","2.3","Transport, storage and communications (I)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","193987768292.918",""
"Albania","2.3","Transport, storage and communications (I)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","121466902251.366",""
"Albania","2.3","Transport, storage and communications (I)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","72520866041.5518",""
"Albania","2.3","Financial intermediation; real estate, renting and business activities (J+K)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","240566543378.952",""
"Albania","2.3","Financial intermediation; real estate, renting and business activities (J+K)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","80584997536.318",""
"Albania","2.3","Financial intermediation; real estate, renting and business activities (J+K)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","159981545842.634",""
"Albania","2.3","Public administration and defense; compulsory social security (L)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","74810475861.395",""
"Albania","2.3","Public administration and defense; compulsory social security (L)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","22031202132.2716",""
"Albania","2.3","Public administration and defense; compulsory social security (L)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","52779273729.1234",""
"Albania","2.3","Education; health and social work; other community, social and personal services (M+N+O)"," ","Output, at basic prices","P.1","2013","1000","lek","2008","190759003571.921",""
"Albania","2.3","Education; health and social work; other community, social and personal services (M+N+O)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2013","1000","lek","2008","57444382983.1294",""
"Albania","2.3","Education; health and social work; other community, social and personal services (M+N+O)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2013","1000","lek","2008","133314620588.791",""
"Albania","2.3","Total Economy"," ","Output, at basic prices","P.1","2012","1000","lek","2008","2159192990159.66",""
"Albania","2.3","Total Economy"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","1001816175031.8",""
"Albania","2.3","Total Economy"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","1157376815127.86",""
"Albania","2.3","Total Economy","","Gross fixed capital formation","P.51","2012","1000","lek","2008","345031000000",""
"Albania","2.3","Agriculture, hunting, forestry; fishing (A+B)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","352009782383.227",""
"Albania","2.3","Agriculture, hunting, forestry; fishing (A+B)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","99400668602.2591",""
"Albania","2.3","Agriculture, hunting, forestry; fishing (A+B)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","252609113780.968",""
"Albania","2.3","Agriculture, hunting and related service activities (01)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","346733259018.512",""
"Albania","2.3","Agriculture, hunting and related service activities (01)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","95966682074.0595",""
"Albania","2.3","Agriculture, hunting and related service activities (01)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","250766576944.453",""
"Albania","2.3","Fishing (B)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","5276523364.7149",""
"Albania","2.3","Fishing (B)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","3433986528.19958",""
"Albania","2.3","Fishing (B)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","1842536836.51532",""
"Albania","2.3","Mining and quarrying (C)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","106045046386.594",""
"Albania","2.3","Mining and quarrying (C)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","40863610267.4873",""
"Albania","2.3","Mining and quarrying (C)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","65181436119.1064",""
"Albania","2.3","Manufacturing (D)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","284915896964.862",""
"Albania","2.3","Manufacturing (D)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","206509777903.623",""
"Albania","2.3","Manufacturing (D)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","78406119061.2386",""
"Albania","2.3","Electricity, gas and water supply (E)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","37447894630.2523",""
"Albania","2.3","Electricity, gas and water supply (E)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","14080628615.2019",""
"Albania","2.3","Electricity, gas and water supply (E)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","23367266015.0504",""
"Albania","2.3","Construction (F)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","385956970349.472",""
"Albania","2.3","Construction (F)"," ","Less: Intermediate consumption, at purchaser's prices","P.2","2012","1000","lek","2008","245306386525.123",""
"Albania","2.3","Construction (F)"," ","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2012","1000","lek","2008","140650583824.349",""
"Albania","2.3","Wholesale retail trade, repair of motor vehicles, motorcycles, etc.; hotels and restaurants (G+H)"," ","Output, at basic prices","P.1","2012","1000","lek","2008","282942391772.341",""
