Group Code,Country or Area Code,Country or Area,SNA93 Table Code,Sub Group,Item Code,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
201,352,Iceland,2.1,Industries,29,Education,M,2005,200,Icelandic króna       ,1993,Western calendar year,52292956914,
201,352,Iceland,2.1,Industries,30,Health and social work,N,2005,200,Icelandic króna       ,1993,Western calendar year,85435880721,
201,352,Iceland,2.1,Industries,31,"Other community, social and personal services",O,2005,200,Icelandic króna       ,1993,Western calendar year,29745142041,
201,352,Iceland,2.1,Industries,11,Private households with employed persons,P,2005,200,Icelandic króna       ,1993,Western calendar year,572126192,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2005,200,Icelandic króna       ,1993,Western calendar year,8.50427E+11,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2005,200,Icelandic króna       ,1993,Western calendar year,1.75314E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2005,200,Icelandic króna       ,1993,Western calendar year,1.02574E+12,
201,352,Iceland,2.1,Industries,1,"Agriculture, hunting, forestry; fishing",A+B,2004,200,Icelandic króna       ,1993,Western calendar year,50632422933,
201,352,Iceland,2.1,Industries,22,"Agriculture, hunting, forestry",A,2004,200,Icelandic króna       ,1993,Western calendar year,11264200160,
201,352,Iceland,2.1,Industries,19,"Agriculture, hunting and related service activities",1,2004,200,Icelandic króna       ,1993,Western calendar year,11264200160,
201,352,Iceland,2.1,Industries,21,Fishing,B,2004,200,Icelandic króna       ,1993,Western calendar year,39368222773,
201,352,Iceland,2.1,Industries,2,Mining and quarrying,C,2004,200,Icelandic króna       ,1993,Western calendar year,978802856,
201,352,Iceland,2.1,Industries,3,Manufacturing,D,2004,200,Icelandic króna       ,1993,Western calendar year,99186167672,
201,352,Iceland,2.1,Industries,4,"Electricity, gas and water supply",E,2004,200,Icelandic króna       ,1993,Western calendar year,28460166584,
201,352,Iceland,2.1,Industries,5,Construction,F,2004,200,Icelandic króna       ,1993,Western calendar year,66359020179,
201,352,Iceland,2.1,Industries,6,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants",G+H,2004,200,Icelandic króna       ,1993,Western calendar year,95356627171,
201,352,Iceland,2.1,Industries,23,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",G,2004,200,Icelandic króna       ,1993,Western calendar year,82871800404,
201,352,Iceland,2.1,Industries,24,Hotels and restaurants,H,2004,200,Icelandic króna       ,1993,Western calendar year,12484826767,
201,352,Iceland,2.1,Industries,7,"Transport, storage and communications",I,2004,200,Icelandic króna       ,1993,Western calendar year,59432656524,
201,352,Iceland,2.1,Industries,8,"Financial intermediation; real estate, renting and business activities",J+K,2004,200,Icelandic króna       ,1993,Western calendar year,1.91733E+11,
201,352,Iceland,2.1,Industries,27,Financial intermediation,J,2004,200,Icelandic króna       ,1993,Western calendar year,62828558542,
201,352,Iceland,2.1,Industries,28,"Real estate, renting and business activities",K,2004,200,Icelandic króna       ,1993,Western calendar year,1.28904E+11,
201,352,Iceland,2.1,Industries,9,Public administration and defence; compulsory social security,L,2004,200,Icelandic króna       ,1993,Western calendar year,45631103493,
201,352,Iceland,2.1,Industries,10,"Education; health and social work; other community, social and personal services",M+N+O,2004,200,Icelandic króna       ,1993,Western calendar year,1.47156E+11,
201,352,Iceland,2.1,Industries,29,Education,M,2004,200,Icelandic króna       ,1993,Western calendar year,42075514585,
201,352,Iceland,2.1,Industries,30,Health and social work,N,2004,200,Icelandic króna       ,1993,Western calendar year,77069596299,
201,352,Iceland,2.1,Industries,31,"Other community, social and personal services",O,2004,200,Icelandic króna       ,1993,Western calendar year,28010918010,
201,352,Iceland,2.1,Industries,11,Private households with employed persons,P,2004,200,Icelandic króna       ,1993,Western calendar year,588234097,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2004,200,Icelandic króna       ,1993,Western calendar year,7.81077E+11,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2004,200,Icelandic króna       ,1993,Western calendar year,1.49064E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2004,200,Icelandic króna       ,1993,Western calendar year,9.30141E+11,
201,352,Iceland,2.1,Industries,1,"Agriculture, hunting, forestry; fishing",A+B,2003,200,Icelandic króna       ,1993,Western calendar year,53569029223,
201,352,Iceland,2.1,Industries,22,"Agriculture, hunting, forestry",A,2003,200,Icelandic króna       ,1993,Western calendar year,10787544311,
201,352,Iceland,2.1,Industries,19,"Agriculture, hunting and related service activities",1,2003,200,Icelandic króna       ,1993,Western calendar year,10787544311,
201,352,Iceland,2.1,Industries,21,Fishing,B,2003,200,Icelandic króna       ,1993,Western calendar year,42781484912,
201,352,Iceland,2.1,Industries,2,Mining and quarrying,C,2003,200,Icelandic króna       ,1993,Western calendar year,962798882,
201,352,Iceland,2.1,Industries,3,Manufacturing,D,2003,200,Icelandic króna       ,1993,Western calendar year,95000150758,
