Group Code,Country or Area Code,Country or Area,SNA93 Table Code,Sub Group,Item Code,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
201,659,Saint Kitts and Nevis,2.1,Industries,4,"Electricity, gas and water supply",E,2015,100,EC dollar,1993,Western calendar year,30287837.41,
201,659,Saint Kitts and Nevis,2.1,Industries,5,Construction,F,2015,100,EC dollar,1993,Western calendar year,383686702.3,
201,659,Saint Kitts and Nevis,2.1,Industries,6,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants",G+H,2015,100,EC dollar,1993,Western calendar year,303128921.4,
201,659,Saint Kitts and Nevis,2.1,Industries,23,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",G,2015,100,EC dollar,1993,Western calendar year,154708765.8,
201,659,Saint Kitts and Nevis,2.1,Industries,24,Hotels and restaurants,H,2015,100,EC dollar,1993,Western calendar year,148420155.6,
201,659,Saint Kitts and Nevis,2.1,Industries,7,"Transport, storage and communications",I,2015,100,EC dollar,1993,Western calendar year,249236114.6,
201,659,Saint Kitts and Nevis,2.1,Industries,25,"Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies",60-63,2015,100,EC dollar,1993,Western calendar year,155166211.7,
201,659,Saint Kitts and Nevis,2.1,Industries,26,Post and telecommunications,64,2015,100,EC dollar,1993,Western calendar year,94069902.88,
201,659,Saint Kitts and Nevis,2.1,Industries,8,"Financial intermediation; real estate, renting and business activities",J+K,2015,100,EC dollar,1993,Western calendar year,458910328.1,
201,659,Saint Kitts and Nevis,2.1,Industries,27,Financial intermediation,J,2015,100,EC dollar,1993,Western calendar year,150197590.1,
201,659,Saint Kitts and Nevis,2.1,Industries,28,"Real estate, renting and business activities",K,2015,100,EC dollar,1993,Western calendar year,308712738,
201,659,Saint Kitts and Nevis,2.1,Industries,9,Public administration and defence; compulsory social security,L,2015,100,EC dollar,1993,Western calendar year,211462399.7,
201,659,Saint Kitts and Nevis,2.1,Industries,10,"Education; health and social work; other community, social and personal services",M+N+O,2015,100,EC dollar,1993,Western calendar year,211709468.4,
