Table Code,Country Code,Year,ISIC,Note Class,Note
,004,,,Reference Period,Calendar year.
,004,,,Data Supplier,"Central Statistic Organization, Kabul."
,004,,,Source,Administrative source.
,004,2018,,Footnote,The value of output is the value of sales of all commodities.
,004,2019,,Footnote,The value of output is the value of sales of all commodities.
,008,,,Deviations from ISIC,None reported.
,008,,,Related national publications,"Structural Survey Economic Enterprises, published by the Institute of Statistics, Tirana."
,008,,,Method of data collection,Direct interview in the field.
,008,,,Type of enumeration,Sample survey for enterprises with 1-9 employees; exhaustive survey for enterprises with 10 or more employees.
,008,,,Source,Annual survey.
,008,,,Data Supplier,"Institute of Statistics, Tirana."
,008,,,Concepts and definitions,Number of persons engaged does not include active business partners.
,008,,,Scope,All enterprises.
,008,,,Concepts and definitions,Output includes revenue from non-industrial activities.
,008,,,Concepts and definitions,"Wages and salaries includes employers' contributions (in respect of their employees) paid to social security, pension and insurance schemes as well as the benefits received by employees under these schemes and severance and termination pay."
,008,2010,,Table Note,Number of enterprises
,008,2010,,Table Note,Output at basic prices
,008,2010,,Reference Period,Calendar year.
,008,2010,,Adjusted for non-response,Yes.  (Response rate: approximately 85.2%)
,008,2010,,Footnote,Number of female employees is the number of female persons engaged.
,008,2011,,Table Note,Number of enterprises
,008,2011,,Table Note,Output at basic prices
,008,2011,,Reference Period,Calendar year.
,008,2011,,Adjusted for non-response,Yes.  (Response rate: approximately 85.2%)
,008,2011,,Footnote,Number of female employees is the number of female persons engaged.
,008,2012,,Table Note,Number of enterprises
,008,2012,,Table Note,Output at basic prices
,008,2012,,Reference Period,Calendar year.
,008,2012,,Adjusted for non-response,Yes.  (Response rate: approximately 85.2%)
,008,2012,,Footnote,Number of female employees is the number of female persons engaged.
,008,2013,,Table Note,Number of enterprises
,008,2013,,Table Note,Output at basic prices
,008,2013,,Reference Period,Calendar year.
,008,2013,,Adjusted for non-response,Yes.  (Response rate: approximately 85.2%)
,008,2013,,Footnote,Number of female employees is the number of female persons engaged.
,008,2014,,Table Note,Number of enterprises
,008,2014,,Table Note,Output at basic prices
,008,2014,,Reference Period,Calendar year.
,008,2014,,Adjusted for non-response,Yes.  (Response rate: approximately 85.2%)
,008,2014,,Footnote,Number of female employees is the number of female persons engaged.
,008,2015,,Table Note,Number of enterprises
,008,2015,,Table Note,Output at basic prices
,008,2015,,Reference Period,Fiscal year.
,008,2015,,Adjusted for non-response,Yes (response rate: approximately 92%).
,008,2015,,Footnote,Number of female employees is the number of female persons engaged.
,008,2016,,Table Note,Number of enterprises
,008,2016,,Table Note,Output at basic prices
,008,2016,,Footnote,"For some industries, the number of employees may be less than the number of enterprises owing to the reason that the workforce in those industries consists of: a) working proprietors, b) active business partners and, c) home workers that are not included in the count of employees."
,008,2016,,Reference Period,Fiscal year.
,008,2016,,Adjusted for non-response,Yes (response rate: approximately 92%).
,008,2016,,Footnote,Number of female employees is the number of female persons engaged.
,008,2017,,Table Note,Number of enterprises
,008,2017,,Table Note,Output at basic prices
,008,2017,,Adjusted for non-response,Yes (response rate: approximately 90%).
,008,2017,,Reference Period,Fiscal year.
,008,2017,,Footnote,Number of female employees is the number of female persons engaged.
,008,2018,,Table Note,Number of enterprises
,008,2018,,Table Note,Output at basic prices
,008,2018,,Reference Period,Fiscal year.
,008,2018,,Adjusted for non-response,Yes (response rate: approximately 92%).
,008,2018,,Footnote,Number of female employees is the number of female persons engaged.
,008,2019,,Table Note,Number of enterprises
,008,2019,,Table Note,Output at basic prices
,008,2019,,Reference Period,Fiscal year.
,008,2019,,Adjusted for non-response,Yes (response rate: approximately 89%).
,008,2019,,Footnote,Number of female employees is the number of female persons engaged.
,008,2020,,Table Note,Number of enterprises
,008,2020,,Table Note,Output at basic prices
,008,2020,,Reference Period,Fiscal year.
,008,2020,,Adjusted for non-response,Yes (response rate: approximately 87%).
,008,2020,,Footnote,Number of female employees is the number of female persons engaged.
20,008,2010,,Table Note,Value added at basic prices
20,008,2011,,Table Note,Value added at basic prices
20,008,2012,,Table Note,Value added at basic prices
20,008,2013,,Table Note,Value added at basic prices
20,008,2014,,Table Note,Value added at basic prices
20,008,2015,,Table Note,Value added at basic prices
20,008,2016,,Table Note,Value added at basic prices
20,008,2017,,Table Note,Value added at basic prices
20,008,2018,,Table Note,Value added at basic prices
20,008,2019,,Table Note,Value added at basic prices
20,008,2020,,Table Note,Value added at basic prices
,012,,,Deviations from ISIC,None reported.
,012,,,Method of data collection,Not reported.
,012,,,Type of enumeration,Not reported.
,012,,,Source,"Census/exhaustive survey, administrative source, annual survey."
,012,,,Scope,All registered establishments.
,012,,,Adjusted for non-response,Not reported.
,012,,,Reference Period,Not reported.
,012,,,Data Supplier,"Office national des statistiques, Algiers."
,012,2011,,Table Note,Output at producers' prices
,012,2011,,Related national publications,"Les Comptes ?conomiques, published by the Office Nationale des Statistiques, Algiers."
,012,2011,,Footnote,"For some industries, the number of employees may be less than the number of enterprises owing to the reason that the workforce in those industries consists of: a) working proprietors, b) active business partners and, c) home workers that are not included in the count of employees."
,012,2011,,Concepts and definitions,"Wages and salaries includes employers' contributions (in respect of their employees) paid to social security, pension and insurance schemes as well as the benefits received by employees under these schemes and severance and termination pay."
,012,2012,,Table Note,Output at producers' prices
,012,2012,,Footnote,"For some industries, the number of employees may be less than the number of enterprises owing to the reason that the workforce in those industries consists of: a) working proprietors, b) active business partners and, c) home workers that are not included in the count of employees."
,012,2012,,Related national publications,"Les Comptes ?conomiques, published by the Office Nationale des Statistiques, Algiers."
,012,2012,,Concepts and definitions,"Wages and salaries includes employers' contributions (in respect of their employees) paid to social security, pension and insurance schemes as well as the benefits received by employees under these schemes and severance and termination pay."
,012,2013,,Table Note,Output at producers' prices
,012,2013,,Related national publications,"Les Comptes ?conomiques, published by the Office Nationale des Statistiques, Algiers."
,012,2013,,Footnote,"For some industries, the number of employees may be less than the number of enterprises owing to the reason that the workforce in those industries consists of: a) working proprietors, b) active business partners and, c) home workers that are not included in the count of employees."
,012,2013,,Concepts and definitions,"Wages and salaries includes employers' contributions (in respect of their employees) paid to social security, pension and insurance schemes as well as the benefits received by employees under these schemes and severance and termination pay."
,012,2014,,Table Note,Output at producers' prices
,012,2014,,Related national publications,"Les Comptes ?conomiques, published by the Office Nationale des Statistiques, Algiers."
,012,2014,,Footnote,"For some industries, the number of employees may be less than the number of enterprises owing to the reason that the workforce in those industries consists of: a) working proprietors, b) active business partners and, c) home workers that are not included in the count of employees."
,012,2014,,Concepts and definitions,"Wages and salaries includes employers' contributions (in respect of their employees) paid to social security, pension and insurance schemes as well as the benefits received by employees under these schemes and severance and termination pay."
,012,2015,,Table Note,Output at producers' prices
,012,2015,,Related national publications,"Les Comptes ?conomiques, published by the Office Nationale des Statistiques, Algiers."
,012,2015,,Footnote,"For some industries, the number of employees may be less than the number of enterprises owing to the reason that the workforce in those industries consists of: a) working proprietors, b) active business partners and, c) home workers that are not included in the count of employees."
,012,2015,,Concepts and definitions,"Wages and salaries includes employers' contributions (in respect of their employees) paid to social security, pension and insurance schemes as well as the benefits received by employees under these schemes and severance and termination pay."
